fips,county,blahblah,moe,population_2015,agg
34001,"Atlantic County, New Jersey",7449956400,149751218,275376,27053.76068
34003,"Bergen County, New Jersey",39900585400,502392192,926330,43073.83481
34005,"Burlington County, New Jersey",16335248800,211132146,450556,36255.75689
34007,"Camden County, New Jersey",15126409100,228839073,511998,29543.88318
34009,"Cape May County, New Jersey",3116757200,93130112,95805,32532.30207
34011,"Cumberland County, New Jersey",3261092900,94143010,157035,20766.66285
34013,"Essex County, New Jersey",24626126400,288993261,791609,31108.95202
34015,"Gloucester County, New Jersey",9656569900,124413368,290298,33264.33492
34017,"Hudson County, New Jersey",21150101600,277399578,662619,31918.94829
34019,"Hunterdon County, New Jersey",6413952600,194051162,126250,50803.58495
34021,"Mercer County, New Jersey",13560267200,245354822,370212,36628.38374
34023,"Middlesex County, New Jersey",27961906400,279533848,830300,33676.87149
34025,"Monmouth County, New Jersey",26808447200,357893732,629185,42608.21094
34027,"Morris County, New Jersey",24177852400,317514697,498192,48531.1936
34029,"Ocean County, New Jersey",17888438300,210547728,583450,30659.76228
34031,"Passaic County, New Jersey",13074558600,208407779,507574,25758.92106
34033,"Salem County, New Jersey",1871852800,85728745,65120,28744.6683
34035,"Somerset County, New Jersey",15675551800,294183125,330604,47414.88851
34037,"Sussex County, New Jersey",5596811400,134783868,145930,38352.71294
34039,"Union County, New Jersey",18554000300,284181042,548744,33811.75976
34041,"Warren County, New Jersey",3634364600,89826990,107226,33894.43419