fips,county,gini,moe
34001,"Atlantic County, New Jersey",0.4572,0.007
34003,"Bergen County, New Jersey",0.4832,0.0042
34005,"Burlington County, New Jersey",0.4259,0.0062
34007,"Camden County, New Jersey",0.4601,0.0055
34009,"Cape May County, New Jersey",0.4526,0.0089
34011,"Cumberland County, New Jersey",0.4404,0.0113
34013,"Essex County, New Jersey",0.5447,0.0042
34015,"Gloucester County, New Jersey",0.4107,0.0078
34017,"Hudson County, New Jersey",0.4953,0.0044
34019,"Hunterdon County, New Jersey",0.4421,0.0096
34021,"Mercer County, New Jersey",0.4901,0.0069
34023,"Middlesex County, New Jersey",0.4292,0.0041
34025,"Monmouth County, New Jersey",0.4695,0.0044
34027,"Morris County, New Jersey",0.4536,0.0062
34029,"Ocean County, New Jersey",0.4382,0.0052
34031,"Passaic County, New Jersey",0.4741,0.005
34033,"Salem County, New Jersey",0.4296,0.0221
34035,"Somerset County, New Jersey",0.4548,0.0072
34037,"Sussex County, New Jersey",0.4063,0.0079
34039,"Union County, New Jersey",0.4905,0.0064
34041,"Warren County, New Jersey",0.4122,0.0092